Fecha;MP25;PM10;CO;NOX;NO2;NO;O3;SO2;TEMP_mean;TEMP_min;TEMP_max;RHUM_mean;WSPD_mean;WSPD_max
2020-04-26;10,0;32,0;0,51;20,1549;11,72;8,43875;14,0;;15,070709166666667;9,71684;21,0583;67,31774583333333;0,6424893833333333;1,56179
2020-04-27;7,0;40,0;0,3;23,5266;12,44;11,0959;13,0;;14,591854166666666;10,2167;20,5667;64,52629166666667;0,8897082958333332;2,36679
2020-04-28;12,0;63,0;0,5;45,0149;21,69;23,336;11,0;;14,803281666666665;8,48553;23,3333;61,96789583333333;0,3395982958333333;1,14617
2020-04-29;20,0;96,0;0,73;69,6606;30,92;38,7461;14,0;;15,2462825;6,65915;26,025;49,90972083333333;0,5992355625;1,90033
2020-04-30;28,0;112,0;0,83;86,5588;36,86;49,6978;14,0;;14,418265833333335;7,24212;23,6417;54,656762500000006;0,4556850291666667;1,97694
2020-05-01;32,0;94,0;0,88;59,0727;27,84;31,2277;22,0;;14,839808333333332;7,03333;24,9417;48,147445833333336;0,44894967916666667;1,78152
2020-05-02;30,0;78,0;;41,5372;21,97;19,5705;19,0;;13,934392916666667;6,15988;22,5612;65,02980000000001;0,662368925;2,19213
2020-05-03;28,0;68,0;;20,2672;15,53;4,73542;24,0;;16,016775;10,75;22,4083;61,69529166666667;0,6952151083333332;1,96687
2020-05-04;23,0;85,0;;31,3412;21,84;9,505;14,0;;17,040341666666666;12,3105;23,6833;56,58882500000001;0,6115422916666666;1,37559
2020-05-05;23,0;93,0;;69,1851;32,3;36,8835;10,0;;15,903944583333335;8,50999;25,7667;51,755741666666665;0,33856102083333334;1,26291
2020-05-06;31,0;122,0;0,84;130,351;48,71;81,6403;10,0;;16,665282916666666;8,06683;28,8917;45,63862916666667;0,2687160416666667;0,571932
2020-05-07;28,0;118,0;0,35;90,0562;41,72;48,3404;16,0;;17,25178875;8,01961;29,17;39,10040416666667;0,5326354833333333;1,7386
2020-05-08;38,0;128,0;0,39;74,2358;38,23;36,006;17,0;;15,138907916666668;7,89285;25,4351;54,9125875;0,6742674000000001;2,15602
2020-05-09;33,0;101,0;0,33;39,4888;23,68;15,8054;19,0;;14,959579166666666;7,90907;24,7504;65,28908750000001;0,7361143499999999;2,29903
2020-05-10;22,0;55,0;0,6;26,795;14,88;11,9152;13,0;;12,483179999999999;7,26704;18,7891;76,08969583333334;0,6162552125;1,92594
2020-05-11;25,0;74,0;0,4;46,9804;22,36;24,6189;11,0;;12,519983333333334;6,17509;20,0544;70,96234166666666;0,5279210666666666;1,50522
2020-05-12;26,0;96,0;0,35;52,5372;27,81;24,7291;5,0;;11,273217916666667;7,43333;15,9333;68,35580833333334;0,43485342916666664;1,5093
2020-05-13;38,0;121,0;0,59;68,1697;35,31;32,8555;11,0;;12,149174583333334;5,43443;21,8;61,85360416666666;0,4598721708333333;1,15189
2020-05-14;28,0;103,0;0,55;79,998;35,65;44,3456;11,0;;13,084529166666668;4,91749;22,9917;47,151495833333335;0,4960089625;1,46543
2020-05-15;27,0;109,0;0,82;103,342;38,37;64,9713;9,0;;15,49073875;7,84238;26,5475;43,526125;0,390539575;1,30029
2020-05-16;25,0;86,0;1,12;75,6514;28,97;46,6832;15,0;;16,547503333333335;8,0;26,9711;49,108174999999996;0,41703074999999995;1,07668
2020-05-17;21,0;64,0;0,77;36,8692;22,68;14,1908;18,0;;16,598361666666666;9,16142;27,1366;48,95719166666667;0,5273448791666667;1,85426
2020-05-18;30,0;87,0;0,7;42,8843;21,74;21,1439;9,0;;12,53619125;6,51777;20,1601;75,23595;0,6448087291666666;1,86873
2020-05-19;31,0;65,0;0,52;30,1236;18,34;11,78;5,0;;9,852436666666668;7,28451;11,875;90,79433333333333;0,6900030416666666;1,36941
2020-05-20;26,0;62,0;0,25;40,9228;21,43;19,4955;3,0;;10,826150833333335;8,75977;13,4616;87,43224166666666;0,5728279166666667;2,4973
2020-05-21;18,0;38,0;0,5;38,0173;16,88;21,1392;7,0;;10,017387083333334;6,1337;15,0191;86,51675;0,4534134875;1,29975
2020-05-22;31,0;78,0;0,67;95,5468;29,49;66,0601;6,0;;9,962562499999999;3,38406;19,5609;71,46139166666667;0,35943755833333335;1,00298
2020-05-23;33,0;83,0;1,05;88,1064;34,98;53,1312;7,0;;12,421669999999999;3,60055;23,75;53,85715833333333;0,5262189375;1,19519
2020-05-24;25,0;68,0;1,05;76,4098;29,47;46,9387;10,0;;14,645666666666665;5,6174;26,3833;46,11858333333333;0,47042234583333337;1,61462
2020-05-25;26,0;90,0;0,91;138,263;45,16;93,1;6,0;;17,345810833333335;8,3174;30,0891;43,22793333333333;0,39477154583333335;0,79759
2020-05-26;26,0;79,0;0,59;75,3805;28,2;47,1766;8,0;;14,218047083333333;9,45073;21,1972;62,555566666666664;0,8474063083333333;2,28844
2020-05-27;35,0;75,0;0,21;35,2295;23,79;11,4363;3,0;;10,753710416666665;8,75888;12,2333;93,66899166666667;0,4135778583333333;1,03946
2020-05-28;40,0;95,0;0,28;54,1073;24,35;29,7527;3,0;;11,927001249999998;9,88623;14,3333;83,35101666666667;0,46280729583333335;1,15675
2020-05-29;43,0;100,0;0,66;64,5209;22,89;41,6328;4,0;;11,599505;9,5768;14,35;82,02703333333334;0,5515416629166666;1,69844
2020-05-30;42,0;92,0;0,78;47,1869;23,21;23,9749;9,0;;11,9658825;6,48378;18,1333;76,11238333333334;0,5225324458333332;1,33235
2020-05-31;46,0;93,0;0,8;43,4334;21,95;21,4829;13,0;;13,585160416666668;8,675;19,6909;76,08341666666666;0,5036784666666666;1,38653
2020-06-01;29,0;74,0;0,34;55,4533;24,51;30,9405;9,0;;12,992739166666667;8,81126;19,7283;74,7398875;0,39725602499999996;1,74791
2020-06-02;38,0;101,0;0,33;65,7266;28,79;36,9335;2,0;;10,53607875;8,5529;13,3917;81,51719583333333;0,5443710458333333;1,85905
2020-06-03;10,0;28,0;0,27;34,3123;16,96;17,3488;11,0;;8,586494583333334;4,49275;11,8833;77,53125416666667;0,771809675;2,198
2020-06-04;23,0;59,0;0,59;76,1161;24,67;51,4468;7,0;;7,840513333333334;2,3919;14,7612;75,94030416666666;0,4522593166666667;1,46419
2020-06-05;37,0;87,0;0,94;106,425;35,26;71,1691;6,0;;8,578546666666666;2,1;16,8417;72,38661666666667;0,3733705708333333;1,14383
2020-06-06;35,0;79,0;0,58;75,9585;34,56;41,4018;8,0;;8,792191666666666;2,80073;16,5704;74,13961666666667;0,7071168375;2,14632
